epoch,step,train/loss,val/auroc_bbb,val/auroc_cyp3a4,val/auroc_herg,val/cls_loss,val/mae_caco2,val/mae_clearance,val/mse_caco2,val/mse_clearance,val/reg_loss,val/rmse_caco2,val/rmse_clearance
35,12249,0.7328649163246155,,,,,,,,,,,
35,12299,0.6996356248855591,,,,,,,,,,,
35,12349,0.7033372521400452,,,,,,,,,,,
35,12399,0.6663133502006531,,,,,,,,,,,
35,12419,,0.88395094871521,0.9233662486076355,0.8372141122817993,0.6036694645881653,0.46685126423835754,0.8998560905456543,0.32122641801834106,1.3856124877929688,0.916508674621582,0.5667684078216553,1.1771204471588135
36,12449,0.6330657601356506,,,,,,,,,,,
36,12499,0.7032646536827087,,,,,,,,,,,
36,12549,0.6495303511619568,,,,,,,,,,,
36,12599,0.6804831624031067,,,,,,,,,,,
36,12649,0.6683676242828369,,,,,,,,,,,
36,12699,0.7145150899887085,,,,,,,,,,,
36,12749,0.7052942514419556,,,,,,,,,,,
36,12764,,0.8871285915374756,0.9279959201812744,0.840345561504364,0.6038563251495361,0.4478856027126312,0.919465184211731,0.2926507294178009,1.4201061725616455,0.934821367263794,0.5409720540046692,1.1916821002960205
37,12799,0.7311342358589172,,,,,,,,,,,
37,12849,0.7872940897941589,,,,,,,,,,,
37,12899,0.6844012141227722,,,,,,,,,,,
37,12949,0.7109119892120361,,,,,,,,,,,
37,12999,0.7353770136833191,,,,,,,,,,,
37,13049,0.6996751427650452,,,,,,,,,,,
37,13099,0.6799195408821106,,,,,,,,,,,
37,13109,,0.8844432234764099,0.9252303242683411,0.8379855751991272,0.6084363460540771,0.44809266924858093,0.89683997631073,0.29673072695732117,1.421661615371704,0.928062379360199,0.5447299480438232,1.192334532737732
38,13149,0.6935881972312927,,,,,,,,,,,
38,13199,0.6488772630691528,,,,,,,,,,,
38,13249,0.7376738786697388,,,,,,,,,,,
38,13299,0.6258534789085388,,,,,,,,,,,
38,13349,0.678426206111908,,,,,,,,,,,
38,13399,0.6526875495910645,,,,,,,,,,,
38,13449,0.6847423315048218,,,,,,,,,,,
38,13454,,0.8793412446975708,0.9254183769226074,0.8344314098358154,0.6043948531150818,0.4650747776031494,0.872588038444519,0.31233838200569153,1.3413515090942383,0.8975285887718201,0.558872401714325,1.1581672430038452
39,13499,0.602318286895752,,,,,,,,,,,
39,13549,0.6803168654441833,,,,,,,,,,,
39,13599,0.6897642612457275,,,,,,,,,,,
39,13649,0.6397773027420044,,,,,,,,,,,
39,13699,0.6879509091377258,,,,,,,,,,,
39,13749,0.6975051760673523,,,,,,,,,,,
39,13799,0.7814579010009766,,,,,,,,,,,
39,13799,,0.8836377263069153,0.9253129363059998,0.8383491635322571,0.6024613976478577,0.44911760091781616,0.8763821721076965,0.29442742466926575,1.3438924551010132,0.8815237879753113,0.5426116585731506,1.1592637300491333
40,13849,0.650822639465332,,,,,,,,,,,
40,13899,0.6492866277694702,,,,,,,,,,,
40,13949,0.6428896188735962,,,,,,,,,,,
40,13999,0.6067478060722351,,,,,,,,,,,
40,14049,0.6415854096412659,,,,,,,,,,,
40,14099,0.688648521900177,,,,,,,,,,,
40,14144,,0.8788489699363708,0.927617073059082,0.8383368253707886,0.5997380018234253,0.45663556456565857,0.894000768661499,0.31057605147361755,1.361464500427246,0.8971360325813293,0.5572934746742249,1.1668181419372559
41,14149,0.6865441203117371,,,,,,,,,,,
41,14199,0.7456551194190979,,,,,,,,,,,
41,14249,0.7220045328140259,,,,,,,,,,,
41,14299,0.7007851600646973,,,,,,,,,,,
41,14349,0.7448552846908569,,,,,,,,,,,
41,14399,0.6103549599647522,,,,,,,,,,,
41,14449,0.6911195516586304,,,,,,,,,,,
41,14489,,0.8826082348823547,0.9246522188186646,0.8341774940490723,0.6030856966972351,0.45009660720825195,0.9162814021110535,0.29170647263526917,1.3853938579559326,0.9075019955635071,0.5400986075401306,1.1770275831222534
42,14499,0.686225414276123,,,,,,,,,,,
42,14549,0.6592330932617188,,,,,,,,,,,
